USB-500/600 Log File,
Name: CEF501shelf#13,
Model: USB-502-PLUS,
Serial Number: 10001330,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
349,2/8/2017 4:09:32 PM,26.0,56.0,16.5,
350,2/8/2017 4:39:32 PM,26.0,56.5,16.7,
351,2/8/2017 5:09:32 PM,26.0,57.0,16.8,
352,2/8/2017 5:39:32 PM,26.0,56.5,16.7,
353,2/8/2017 6:09:32 PM,26.0,56.5,16.7,
354,2/8/2017 6:39:32 PM,26.0,57.5,17.0,
355,2/8/2017 7:09:32 PM,26.0,57.0,16.8,
356,2/8/2017 7:39:32 PM,26.0,56.5,16.7,
357,2/8/2017 8:09:32 PM,26.0,57.0,16.8,
358,2/8/2017 8:39:32 PM,26.0,57.0,16.8,
359,2/8/2017 9:09:32 PM,26.0,57.0,16.8,
360,2/8/2017 9:39:32 PM,26.0,57.0,16.8,
361,2/8/2017 10:09:32 PM,23.5,69.5,17.6,
362,2/8/2017 10:39:32 PM,22.5,83.0,19.5,
363,2/8/2017 11:09:32 PM,22.5,84.5,19.8,
364,2/8/2017 11:39:32 PM,22.5,83.5,19.6,
365,2/9/2017 12:09:32 AM,22.5,82.0,19.3,
366,2/9/2017 12:39:32 AM,22.5,80.0,18.9,
367,2/9/2017 1:09:32 AM,22.5,78.0,18.5,
368,2/9/2017 1:39:32 AM,22.5,77.0,18.3,
369,2/9/2017 2:09:32 AM,22.0,75.0,17.4,
370,2/9/2017 2:39:32 AM,22.5,74.5,17.7,
371,2/9/2017 3:09:32 AM,22.5,74.0,17.6,
372,2/9/2017 3:39:32 AM,22.0,73.5,17.0,
373,2/9/2017 4:09:32 AM,22.0,73.0,16.9,
374,2/9/2017 4:39:32 AM,22.0,73.0,16.9,
375,2/9/2017 5:09:32 AM,22.5,72.5,17.3,
376,2/9/2017 5:39:32 AM,22.0,72.5,16.8,
377,2/9/2017 6:09:32 AM,24.5,66.0,17.7,
378,2/9/2017 6:39:32 AM,25.5,60.0,17.2,
379,2/9/2017 7:09:32 AM,25.5,58.5,16.8,
380,2/9/2017 7:39:32 AM,26.0,58.5,17.2,
381,2/9/2017 8:09:32 AM,26.0,57.0,16.8,
382,2/9/2017 8:39:32 AM,26.0,56.5,16.7,
383,2/9/2017 9:09:32 AM,26.0,57.5,17.0,
384,2/9/2017 9:39:32 AM,26.0,57.0,16.8,
385,2/9/2017 10:09:32 AM,26.0,57.0,16.8,
386,2/9/2017 10:39:32 AM,26.0,56.5,16.7,
387,2/9/2017 11:09:32 AM,26.0,57.0,16.8,
388,2/9/2017 11:39:32 AM,26.0,57.0,16.8,
389,2/9/2017 12:09:32 PM,26.0,57.0,16.8,
390,2/9/2017 12:39:32 PM,26.0,56.5,16.7,
391,2/9/2017 1:09:32 PM,26.0,56.5,16.7,
392,2/9/2017 1:39:32 PM,26.0,56.0,16.5,
393,2/9/2017 2:09:32 PM,26.0,57.0,16.8,
394,2/9/2017 2:39:32 PM,26.5,56.0,17.0,
395,2/9/2017 3:09:32 PM,26.5,56.0,17.0,
396,2/9/2017 3:39:32 PM,26.5,56.0,17.0,
397,2/9/2017 4:09:32 PM,26.5,55.5,16.9,
398,2/9/2017 4:39:32 PM,26.0,57.0,16.8,
399,2/9/2017 5:09:32 PM,25.5,57.5,16.5,
400,2/9/2017 5:39:32 PM,25.5,58.0,16.6,
401,2/9/2017 6:09:32 PM,26.0,57.5,17.0,
402,2/9/2017 6:39:32 PM,25.5,58.0,16.6,
403,2/9/2017 7:09:32 PM,25.5,58.0,16.6,
404,2/9/2017 7:39:32 PM,25.5,57.0,16.4,
405,2/9/2017 8:09:32 PM,26.0,57.5,17.0,
406,2/9/2017 8:39:32 PM,25.5,57.0,16.4,
407,2/9/2017 9:09:32 PM,25.5,58.5,16.8,
408,2/9/2017 9:39:32 PM,26.0,57.5,17.0,
409,2/9/2017 10:09:32 PM,23.5,70.0,17.7,
410,2/9/2017 10:39:32 PM,22.5,82.5,19.4,
411,2/9/2017 11:09:32 PM,22.5,80.5,19.0,
412,2/9/2017 11:39:32 PM,22.5,77.5,18.4,
413,2/10/2017 12:09:32 AM,22.5,74.5,17.7,
414,2/10/2017 12:39:32 AM,22.5,71.5,17.1,
415,2/10/2017 1:09:32 AM,22.0,70.5,16.4,
416,2/10/2017 1:39:32 AM,22.0,69.0,16.1,
417,2/10/2017 2:09:32 AM,22.0,68.5,15.9,
418,2/10/2017 2:39:32 AM,22.0,68.0,15.8,
419,2/10/2017 3:09:32 AM,22.0,67.5,15.7,
420,2/10/2017 3:39:32 AM,22.0,67.5,15.7,
421,2/10/2017 4:09:32 AM,22.0,67.0,15.6,
422,2/10/2017 4:39:32 AM,22.0,66.5,15.5,
423,2/10/2017 5:09:32 AM,22.0,66.0,15.4,
424,2/10/2017 5:39:32 AM,22.0,66.0,15.4,
425,2/10/2017 6:09:32 AM,24.0,62.5,16.4,
426,2/10/2017 6:39:32 AM,25.0,58.0,16.2,
427,2/10/2017 7:09:32 AM,25.5,58.0,16.6,
428,2/10/2017 7:39:32 AM,25.5,58.0,16.6,
429,2/10/2017 8:09:32 AM,25.5,57.0,16.4,
430,2/10/2017 8:39:32 AM,25.5,57.5,16.5,
431,2/10/2017 9:09:32 AM,25.5,58.0,16.6,
432,2/10/2017 9:39:32 AM,24.5,59.5,16.1,
433,2/10/2017 10:09:32 AM,25.0,59.0,16.4,
434,2/10/2017 10:39:32 AM,25.0,59.5,16.6,
435,2/10/2017 11:09:32 AM,24.5,60.5,16.4,
436,2/10/2017 11:39:32 AM,24.5,59.5,16.1,
437,2/10/2017 12:09:32 PM,24.5,60.0,16.2,
438,2/10/2017 12:39:32 PM,25.0,58.5,16.3,
439,2/10/2017 1:09:32 PM,25.0,57.5,16.0,
440,2/10/2017 1:39:32 PM,25.0,56.5,15.8,
